sep=|
Property|Value|Value|Value
Page|https://perle.com|https://perle.com|https://perle.com|
Test Location|Salt Lake City, Utah - GCE - <b>Chrome</b> - <b>Cable</b>|Toronto, Canada - EC2 - <b>Chrome</b> - <b>Cable</b>|Virginia USA - EC2  - <b>Chrome</b> - <b>Cable</b>|
loadTime|6965|6156.666666666667|5512|
First Contentful Paint|983.6666666666666|597.6666666666666|520.6666666666666|
Largest Contentful Paint|1638.3333333333333|1449.6666666666667|1526.3333333333333|
Cumulative Layout Shift|0.5554324785333333|0.5045358266|0.3405425869|
Time To First Byte(TTFB)|488.6666666666667|361.3333333333333|303|
Time To Interactive||2895.3333333333335|3989|
Speed Index|488.6666666666667|361.3333333333333|303|
CPU Load|60.257532725599994|36.3846959691|29.506867043966665|
Total Blocking Time|983.6666666666666|597.6666666666666|520.6666666666666|
Render Blocking Resources
/styles/bootstrap-4.4.1/css/bootstrap.min.css
/styles/main-b4.css
/styles/cards-b4.css
/styles/home-b4.css
/scripts/bootstrap-3.3.4/respond-min.js
/styles/slick.css
/styles/bootstrap-select.css
/scripts/jquery-bootstrap.js
/scripts/jquery.cycle.all.min.js?ver=3.9
/scripts/slick-slider.js
/scripts/cookiecontrol-7.2.min.js
/contactus/css/formnet.css
/styles/bootstrap-4.4.1/js/bootstrap.bundle.min.js
/contactus/js/site.js?v=0egs7y71xgz3aemhkhbnfytduujzz50pjl9fjgvehfa

ID|aria-allowed-attr|aria-allowed-attr|aria-allowed-attr|
IMPACT|critical|critical|critical|
DESC|Ensures ARIA attributes are allowed for an element's role|Ensures ARIA attributes are allowed for an element's role|Ensures ARIA attributes are allowed for an element's role|
HELP|Elements must only use allowed ARIA attributes|Elements must only use allowed ARIA attributes|Elements must only use allowed ARIA attributes|

ID|aria-hidden-focus|aria-hidden-focus|aria-hidden-focus|
IMPACT|serious|serious|serious|
DESC|Ensures aria-hidden elements do not contain focusable elements|Ensures aria-hidden elements do not contain focusable elements|Ensures aria-hidden elements do not contain focusable elements|
HELP|ARIA hidden element must not contain focusable elements|ARIA hidden element must not contain focusable elements|ARIA hidden element must not contain focusable elements|

ID|aria-required-children|aria-required-children|aria-required-children|
IMPACT|critical|critical|critical|
